Advertised,AdvertisedLocationName,AdvertisedShortLocationName,PrimaryLocationCode,CountryCode,CountyNo,Deleted,LocationSignature,Prognosticated,OfficialLocationName,Geometry.SWEREF99TM,Geometry.WGS84
True,Förslöv,Förslöv,10661,SE,[12],False,För,True,Förslöv,POINT (364149.9 6247810),POINT (12.80136419479612 56.355434838949776)
True,Göteborg C,Göteborg,1318,SE,[14],False,G,True,Göteborg Central,POINT (319716 6400328),POINT (11.973894337655052 57.70890077324153)
True,Gamleby,Gamleby,1044,SE,[8],False,Gal,True,Gamleby,POINT (583558 6418113),POINT (16.409636995574612 57.89699349903439)
True,Gamlestaden,Gamlestaden,10129,SE,[14],False,Gas,True,Gamlestaden,POINT (321598 6402248),POINT (12.004010729554677 57.72687400375958)
True,Gårdsjö,Gårdsjö,1266,SE,[14],False,Gdö,True,Gårdsjö,POINT (461584 6526005),POINT (14.333802381332177 58.872130484738726)
True,Grängesberg,Grängesberg,1191,SE,[20],False,Gg,True,Grängesberg,POINT (500191 6659768),POINT (15.003432083863114 60.07503751365522)
True,Glumslöv,Glumslöv,1100,SE,[12],False,Glv,True,Glumslöv,POINT (363490 6202006),POINT (12.814172036663246 55.94401151129871)
True,Gemla,Gemla,1063,SE,[7],False,Gm,True,Gemla,POINT (478436 6303056),POINT (14.646249034033074 56.87076516651419)
True,Grums,Grums,1165,SE,[17],False,Gms,True,Grums,POINT (392752 6580879),POINT (13.113764754588837 59.353001504531164)
True,Gnesta,Gnesta,1108,SE,[4],False,Gn,True,Gnesta,POINT (632674 6547755),POINT (17.31284111855289 59.048549274564444)
True,Gunnesbo,Gunnesbo,1241,SE,[12],False,Gnb,True,Gunnesbo,POINT (384974 6177077),POINT (13.168516644923532 55.72575549973703)
True,Gagnef,Gagnef,1040,SE,[20],False,Gnf,True,Gagnef,POINT (504438 6718099),POINT (15.081034635635032 60.598755555224464)
True,Gnosjö,Gnosjö,1110,SE,[6],False,Gnö,True,Gnosjö,POINT (423897 6358003),POINT (13.734999965282306 57.3585171432248)
True,Grästorp,Grästorp,1198,SE,[14],False,Gop,True,Grästorp,POINT (364503 6468292),POINT (12.685777444832095 58.334593430671276)
True,Gärsnäs,Gärsnäs,1294,SE,[12],False,Gss,True,Gärsnäs,POINT (448360 6155912),POINT (14.181556608018504 55.546497527615365)
True,Gällivare C,Gällivare,1283,SE,[25],False,Gvc,True,Gällivare central,POINT (744773 7457377),POINT (20.651074492530242 67.13332488381957)
True,Gävle C,Gävle,1296,SE,[21],False,Gä,True,Gävle central,POINT (617548 6728634),POINT (17.15175002287261 60.67608613035817)
True,Gällö,Gällö,1287,SE,[23],False,Gö,True,Gällö,POINT (511660 6975720),POINT (15.229499485589841 62.911233819282245)
True,Helsingborg C,Helsingborg,1688,SE,[12],False,Hb,True,Helsingborgs central,POINT (356429 6213321),POINT (12.695170369660401 56.04353768729228)
True,Högboda,Högboda,1728,SE,[17],False,Hbd,True,Högboda,POINT (389860 6603750),POINT (13.051154991235645 59.55751992594047)
True,Ramlösa,Ramlösa,1690,SE,[12],False,Hbgb,True,Helsingborgs godsbangård,POINT (358034 6211439),POINT (12.72190926635053 56.02711985716998)
True,Halmstad C,Halmstad,1380,SE,[13],False,Hd,True,Halmstads central,POINT (369157 6282646),POINT (12.864818965578987 56.66960291202691)
True,Hedemora,Hedemora,1439,SE,[20],False,Hdm,True,Hedemora,POINT (554221 6682341),POINT (15.980235477603605 60.27410434945127)
True,Holmsveden,Holmsveden,1544,SE,[21],False,Hdn,True,Holmsveden,POINT (592621 6777338),POINT (16.719091843482815 61.119708853915455)
True,Helenelund,Helenelund,1453,SE,"[1, 2]",False,Hel,True,Helenelund,POINT (668127 6589358),POINT (17.9622240174434 59.40917633433378)
True,Hestra,Hestra,1482,SE,[6],False,Het,True,Hestra,POINT (415715 6367583),POINT (13.595753784550018 57.443107909129445)
True,Hultsfred,Hultsfred,1598,SE,[8],False,Hf,True,Hultsfred,POINT (550787 6371794),POINT (15.847113329181331 57.48591121279468)
True,Hemfosa,Hemfosa,1460,SE,"[1, 2]",False,Hfa,True,Hemfosa,POINT (670634 6551515),POINT (17.976580278469207 59.06878868044684)
True,Hofors,Hofors,1524,SE,[21],False,Hfr,True,Hofors,POINT (569404 6715515),POINT (16.266177324608176 60.569582530260384)
True,Häggvik,Häggvik,1653,SE,"[1, 2]",False,Hgv,True,Häggvik,POINT (666342 6593076),POINT (17.933708214106918 59.443229734865824)
True,Hallstahammar,Hallstahammar,1375,SE,[19],False,Hh,True,Hallstahammar,POINT (568847 6609130),POINT (16.22019442104221 59.614655925309236)
True,Hyllie,Hyllie,1585,SE,[12],False,Hie,True,Hyllie,POINT (372378 6159320),POINT (12.976334306982288 55.56314797091764)
True,Hjärup,Hjärup,1525,SE,[12],False,Hjp,True,Hjärup,POINT (382788 6171351),POINT (13.136180331841159 55.67380878088584)
True,Huskvarna,Huskvarna,1611,SE,[6],False,Hka,True,Huskvarna,POINT (456278 6404718),POINT (14.264765052760872 57.78236557078989)
True,Hudiksvall,Hudiksvall,1579,SE,[21],False,Hkl,True,Hudiksvall,POINT (611455 6845315),POINT (17.109181597697 61.724663722266975)
True,Hässleholm,Hässleholm,1707,SE,[12],False,Hm,True,Hässleholm,POINT (423181 6224343),POINT (13.76320716790886 56.157905938218114)
True,Holmsjö,Holmsjö,1539,SE,[10],False,Hmö,True,Holmsjö,POINT (533449 6253207),POINT (15.542248196115207 56.42223781513127)
True,Handen,Handen,10185,SE,"[1, 2]",False,Hnd,True,Handen,POINT (679149 6562777),POINT (18.134083391796956 59.16628512504594)
True,Hälleforsnäs,Hälleforsnäs,1658,SE,[4],False,Hnä,True,Hälleforsnäs,POINT (585915 6559058),POINT (16.502559282776225 59.16199646024948)
True,Habo,Habo,1351,SE,[6],False,Ho,True,Habo,POINT (445298 6418662),POINT (14.076950578979076 57.90639312429115)
True,Haparanda,Haparanda,1408,SE,[25],False,Hp,True,Haparanda,POINT (916041 7331082),POINT (24.131133045988825 65.8281113449655)
